Дата;Чемпионат;Дома;Гости;Счет хозяев;Счет гостей;Ожидаемые голы (xG) Дома;Ожидаемые голы (xG) Гости;xG в створ (xGOT) Дома;xG в створ (xGOT) Гости;Владение мячом Дома;Владение мячом Гости;Удары в створ Дома;Удары в створ Гости;Угловые Дома;Угловые Гости;Желтые карточки Дома;Желтые карточки Гости;Красные карточки Дома;Красные карточки Гости;Коэффициенты П1;Коэффициенты Н;Коэффициенты П2
27.09.2025 17:00;АнглияПремьер-лига - Тур 6;Челси;Брайтон;1;3;1.81;2.29;2.12;1.77;0.59;0.41;3;3;5;7;4;5;1;0;1.99;3.75;3.6
27.09.2025 17:00;АнглияПремьер-лига - Тур 6;Манчестер Сити;Бёрнли;5;1;2.03;0.41;2.75;0.61;0.68;0.32;8;2;10;2;1;3;0;0;1.2;7;13
27.09.2025 17:00;АнглияПремьер-лига - Тур 6;Лидс;Борнмут;2;2;1.84;0.82;2.05;1.31;0.41;0.59;8;5;7;4;2;2;0;0;2.95;3.25;2.49
27.09.2025 17:00;АнглияПремьер-лига - Тур 6;Кристал Пэлас;Ливерпуль;2;1;2.92;2.14;2.65;1.79;0.28;0.72;7;4;2;6;1;3;0;0;4;3.75;1.86
27.09.2025 19:30;АнглияПремьер-лига - Тур 6;Ноттингем Форест;Сандерленд;0;1;1.68;1.19;1.69;0.87;0.65;0.35;6;3;7;4;4;2;0;0;1.76;3.7;4.7
27.09.2025 22:00;АнглияПремьер-лига - Тур 6;Тоттенхэм;Вулверхэмптон;1;1;0.87;1.15;1.5;1.43;0.51;0.49;3;3;10;9;3;2;0;0;1.56;4.5;6.2
28.09.2025 16:00;АнглияПремьер-лига - Тур 6;Астон Вилла;Фулхэм;3;1;1.11;0.92;1.7;0.76;0.48;0.52;4;4;2;8;1;4;0;0;2.28;3.25;3.3
28.09.2025 18:30;АнглияПремьер-лига - Тур 6;Ньюкасл Юнайтед;Арсенал;1;2;0.61;2.05;0.93;2.73;0.37;0.63;3;7;7;12;2;1;0;0;3.55;3.4;2.21
29.09.2025 22:00;АнглияПремьер-лига - Тур 6;Эвертон;Вест Хэм;1;1;0.74;1.19;0.42;1.2;0.52;0.48;6;3;3;5;3;4;0;0;1.66;3.9;5.2
03.10.2025 22:00;АнглияПремьер-лига - Тур 7;Борнмут;Фулхэм;3;1;1.12;0.89;1.81;1.06;0.54;0.46;6;4;4;3;0;1;0;0;1.96;3.4;4
04.10.2025 14:30;АнглияПремьер-лига - Тур 7;Лидс;Тоттенхэм;1;2;1.68;0.53;1.66;0.6;0.56;0.44;4;3;4;1;2;3;0;0;2.7;3.4;2.6
04.10.2025 17:00;АнглияПремьер-лига - Тур 7;Манчестер Юнайтед;Сандерленд;2;0;1.84;0.71;2.08;0.94;0.5;0.5;6;3;2;3;1;4;0;0;1.59;4.3;5.4
